embedding_model,regressor,threshold,mae,r2,routing_accuracy,exit_code,log_file
"all-roberta-large-v1","knn","0.60","0.2296","0.1603","0.6589","0","/home/eriko/Documents/Cost-aware-LLM/pipeline_regression/sweep_logs/all-roberta-large-v1_knn.log"
"all-roberta-large-v1","linear","0.60","0.2255","0.2130","0.6742","0","/home/eriko/Documents/Cost-aware-LLM/pipeline_regression/sweep_logs/all-roberta-large-v1_linear.log"
"all-roberta-large-v1","ridge","0.60","0.2243","0.2264","0.6852","0","/home/eriko/Documents/Cost-aware-LLM/pipeline_regression/sweep_logs/all-roberta-large-v1_ridge.log"
"all-roberta-large-v1","rf","0.55","0.2279","0.2178","0.6766","0","/home/eriko/Documents/Cost-aware-LLM/pipeline_regression/sweep_logs/all-roberta-large-v1_rf.log"
"all-roberta-large-v1","svr","0.60","0.2182","0.2505","0.6848","0","/home/eriko/Documents/Cost-aware-LLM/pipeline_regression/sweep_logs/all-roberta-large-v1_svr.log"
"all-roberta-large-v1","dt","0.55","0.3003","-0.5444","0.5895","0","/home/eriko/Documents/Cost-aware-LLM/pipeline_regression/sweep_logs/all-roberta-large-v1_dt.log"
"all-roberta-large-v1","gb","0.60","0.2302","0.2014","0.6740","0","/home/eriko/Documents/Cost-aware-LLM/pipeline_regression/sweep_logs/all-roberta-large-v1_gb.log"
"all-roberta-large-v1","xgb","0.60","0.2303","0.1621","0.6616","0","/home/eriko/Documents/Cost-aware-LLM/pipeline_regression/sweep_logs/all-roberta-large-v1_xgb.log"
"all-roberta-large-v1","lgb","0.60","0.2256","0.2210","0.6799","0","/home/eriko/Documents/Cost-aware-LLM/pipeline_regression/sweep_logs/all-roberta-large-v1_lgb.log"
"all-roberta-large-v1","mlp","0.60","0.2401","0.0498","0.6455","0","/home/eriko/Documents/Cost-aware-LLM/pipeline_regression/sweep_logs/all-roberta-large-v1_mlp.log"
"all-MiniLM-L6-v2","knn","0.60","0.2326","0.1350","0.6589","0","/home/eriko/Documents/Cost-aware-LLM/pipeline_regression/sweep_logs/all-MiniLM-L6-v2_knn.log"
"all-MiniLM-L6-v2","linear","0.60","0.2290","0.1942","0.6742","0","/home/eriko/Documents/Cost-aware-LLM/pipeline_regression/sweep_logs/all-MiniLM-L6-v2_linear.log"
"all-MiniLM-L6-v2","ridge","0.60","0.2292","0.1948","0.6737","0","/home/eriko/Documents/Cost-aware-LLM/pipeline_regression/sweep_logs/all-MiniLM-L6-v2_ridge.log"
"all-MiniLM-L6-v2","rf","0.55","0.2271","0.2186","0.6766","0","/home/eriko/Documents/Cost-aware-LLM/pipeline_regression/sweep_logs/all-MiniLM-L6-v2_rf.log"
"all-MiniLM-L6-v2","svr","0.60","0.2204","0.2364","0.6874","0","/home/eriko/Documents/Cost-aware-LLM/pipeline_regression/sweep_logs/all-MiniLM-L6-v2_svr.log"
"all-MiniLM-L6-v2","dt","0.55","0.3020","-0.5817","0.5825","0","/home/eriko/Documents/Cost-aware-LLM/pipeline_regression/sweep_logs/all-MiniLM-L6-v2_dt.log"
"all-MiniLM-L6-v2","gb","0.60","0.2311","0.1950","0.6777","0","/home/eriko/Documents/Cost-aware-LLM/pipeline_regression/sweep_logs/all-MiniLM-L6-v2_gb.log"
"all-MiniLM-L6-v2","xgb","0.60","0.2310","0.1577","0.6642","0","/home/eriko/Documents/Cost-aware-LLM/pipeline_regression/sweep_logs/all-MiniLM-L6-v2_xgb.log"
"all-MiniLM-L6-v2","lgb","0.60","0.2269","0.2143","0.6797","0","/home/eriko/Documents/Cost-aware-LLM/pipeline_regression/sweep_logs/all-MiniLM-L6-v2_lgb.log"
"all-MiniLM-L6-v2","mlp","0.60","0.2503","-0.0333","0.6457","0","/home/eriko/Documents/Cost-aware-LLM/pipeline_regression/sweep_logs/all-MiniLM-L6-v2_mlp.log"
